policy_id,policyholder_age,policy_tenure_months,premium_amount,coverage_amount,payment_history_score,predicted_lapse_risk,confidence_interval_lower,confidence_interval_upper,explanation_strength,explanation_type,human_override,response_time_seconds,initial_trust_score,actual_lapse_occurred,post_decision_trust_score,intervention_taken,decision_timestamp,trust_change_direction,decision_delay_bucket,external_pressure
POL-294876,46,230,147.99,926000,0.89,0.28,0.18,0.38,0.83,counterfactual,FALSE,60,0.74,FALSE,0.57,premium_adjustment,3/23/25 12:59,increase,moderate,none
POL-25616,68,130,148.19,2000000,0.6,0.45,0.34,0.62,0.78,rule-based,FALSE,94,0.85,FALSE,0.82,premium_adjustment,6/23/24 18:04,increase,moderate,none
POL-421938,57,520,69.1,121000,0.96,0.49,0.44,0.26,0.56,feature_importance,FALSE,16,0.69,FALSE,0.44,none,1/26/25 9:35,decrease,fast,none
POL-877709,28,82,95.28,94000,0.68,0.3,0.06,0.08,0.74,counterfactual,FALSE,95,0.93,FALSE,0.86,none,10/15/24 13:43,neutral,moderate,none
POL-542802,37,212,332.53,779000,0.72,0.57,0.4,0.38,0.79,SHAP,FALSE,78,0.75,FALSE,0.79,retention_call,4/21/24 13:58,neutral,moderate,mild
POL-000251,42,96,118.27,81000,0.52,0.05,0.1,0.52,0.81,rule-based,TRUE,60,0.51,FALSE,0.65,premium_adjustment,3/22/24 15:25,increase,moderate,none
POL-000912,39,74,210.48,121000,0.96,0.41,0.38,0.72,0.77,SHAP,FALSE,75,0.87,FALSE,0.9,premium_adjustment,12/28/24 9:43,increase,moderate,mild
POL-799409,60,114,113.16,1103000,0.58,0.35,0.55,0.42,0.9,feature_importance,TRUE,15,0.6,TRUE,0.43,none,1/22/25 10:03,decrease,fast,none
POL-700029,45,6,310.12,277000,0.83,0.22,0.13,0.44,0.88,LIME,FALSE,52,0.86,FALSE,0.95,none,9/30/25 10:36,increase,moderate,none
POL-897841,53,220,1493.33,422000,0.92,0.25,0.15,0.36,0.77,LIME,FALSE,268,0.87,TRUE,0.88,coverage_review,9/2/24 14:45,increase,delayed,mild
POL-678731,59,260,310.11,892000,0.58,0.42,0.04,0.12,0.59,LIME,FALSE,19,0.79,FALSE,0.76,none,8/17/25 13:03,increase,fast,mild
POL-001414,55,410,60.39,990000,0.73,0.19,0.08,0.22,0.78,counterfactual,FALSE,70,0.79,FALSE,0.72,none,5/2/25 17:58,increase,moderate,none
POL-520903,28,300,1186.95,985000,0.74,0.59,0.34,0.66,0.77,rule-based,TRUE,180,0.65,TRUE,0.86,retention_call,8/21/24 18:49,increase,delayed,high
POL-553920,56,22,260.04,1477000,0.93,0.46,0.06,0.08,0.75,feature_importance,FALSE,25,0.7,FALSE,0.84,none,11/1/24 16:19,neutral,fast,mild
POL-162132,30,54,147.21,542000,0.98,0.62,0.05,0.08,0.78,SHAP,FALSE,15,0.68,FALSE,0.67,none,7/17/25 15:58,neutral,fast,mild
POL-051917,43,400,128.7,415000,0.68,0.56,0.28,0.47,0.77,counterfactual,FALSE,30,0.51,FALSE,0.42,retention_call,10/14/25 13:00,increase,fast,mild
POL-510907,41,490,242.03,353000,0.81,0.29,0.48,0.48,0.65,counterfactual,FALSE,82,0.51,FALSE,0.72,none,4/30/24 15:27,neutral,moderate,none
POL-086249,34,6,471.27,698000,0.95,0.05,0.3,0.16,0.86,SHAP,TRUE,120,0.69,FALSE,0.46,premium_adjustment,10/15/25 9:23,decrease,delayed,none
POL-624708,48,360,1135.22,921000,0.76,0.21,0.54,0.34,0.66,SHAP,FALSE,50,0.56,FALSE,0.7,none,3/26/25 15:42,decrease,moderate,none
POL-104899,65,28,184.44,266000,0.92,0.31,0.04,0.14,0.67,rule-based,FALSE,42,0.84,FALSE,0.95,none,4/1/25 17:04,increase,moderate,none
POL-201930,59,100,253.45,986000,0.75,0.6,0.38,0.55,0.61,counterfactual,FALSE,88,0.88,TRUE,0.6,retention_call,7/26/24 14:43,increase,moderate,high
POL-604241,60,306,68.59,71000,0.87,0.15,0.46,0.54,0.76,LIME,FALSE,100,0.92,FALSE,0.64,none,1/5/25 9:22,increase,moderate,none
